丹尼尔·克雷格/蕾切尔·薇兹/娜奥米·沃茨/马尔顿·索克斯/泰勒·吉蕾/蕾切尔·福克斯/林恩·格里芬/简·亚历山大/莎拉·加顿,1025175/1018989/1016675/1009284/1049943/1022807/1102282/1054966/1000183
田中秀幸/麦人/飛田展男/山寺宏一,*/*/*/*
艾伦·伯斯汀/杰瑞德·莱托/詹妮弗·康纳利/马龙·韦恩斯/克里斯托弗·麦克唐纳/露易丝·拉塞尔/玛西娅·让·库尔茨/夏洛特·阿罗诺夫斯基/马克·马戈利斯/Janet Sarno/苏珊妮·谢泼德,1036407/1013764/1016673/1025205/1055787/1000365/1313060/1058032/1123828/1144945/1344219
德光由禾/竹内顺子,1150484/1000744
井口裕香/中尾隆圣/金田朋子/间宫くるみ/星野充昭/寺田はるひ/仙台エリ/寿美菜子,*/*/*/*/*/*/*/*
NotDefined,NotDefined
加里·格兰特/黛博拉·蔻儿/沃尔特·皮金,1053563/1027301/1027482
周润发/林青霞/杨雪仪,1044899/1044746/1316543
瓦莱里奥·马斯坦德雷亚/贝热尼丝·贝乔/法布里齐奥·吉福尼/圭多·卡普里诺/Barbara Ronchi,1005301/1009461/1101324/1219779/*
苗可秀/宗华/岳华/龙君儿/胡锦/龙飞/王俠/田野/薛汉/江明/聞江龍,1005207/1151683/1012788/1319692/1275322/1007223/*/*/1093895/1310759/*
吉安卡罗·吉安尼尼/玛丽安杰拉·梅拉托/图里·费罗,1025264/1050269/1090722
菅谷政子/近藤洋介/铃木弘子/青野武/武藤礼子/山本嘉子/小原乃梨子/高坂真琴,*/*/*/*/*/*/1029504/*
菅谷政子/鈴木弘子/青野武/近藤洋介/小原乃梨子,*/*/*/*/*
藤田淑子　（ミーム）/神保なおみ（大助）/室井深雪　（さやか／マリ）,*/*/*
梵尚·兰东/海伦·文森特/艾玛纽尔·塞尼耶/奥利维尔·佩里耶/卢德维克·伯特希尔克,1010741/1050911/1010589/1135236/1064558
细谷佳正/铃木达央/代永翼/坂本真绫,1315177/1274746/1315697/1146783
细谷佳正/铃木达央/代永翼/坂本真绫,1315177/1274746/1315697/1146783
细谷佳正/铃木达央/代永翼/坂本真绫,1315177/1274746/1315697/1146783
南尼·莫莱蒂/Ferruccio De Ceresa/马可·梅塞里,1022980/1085346/1121920
Pier Maria Rossi/Mita Ungaro/Carlos de Carvalho/Fausto Di Bella/弗农·多布切夫/Antonella Fasano/让·马丹/托尼·武齐/维托里奥·卡布里奥利/蒂娜·奥蒙特/弗洛拉·卡拉贝拉/Raouf Ben Amor/Luis Suárez/Hedi Zoughlami/雷纳托·蒙塔尔巴诺,*/*/*/*/1022603/*/1032831/1155430/1025533/1005151/1071966/*/*/*/1115378
贝蒂·戴维丝/玛丽·阿斯特/乔治·布伦特,*/*/1032397
郭晓峰/王翊丹/孙磊/孙锡堃/耿懿/张宛庭,1316799/1327599/*/1328092/1341681/1354519
NotDefined,NotDefined
郑嘉颖/田蕊妮/吴业坤/赖慰玲/金刚/陈嘉佳,1274666/1275866/1327655/1340475/1317182/1336610
莎拉·伯恩斯/埃里克·埃德尔斯坦/Hudson West/Jacob Melton/Lewis Pullman/Brendan Scannell/迪利普·劳,1279679/1223276/*/*/*/*/1274222
霍思燕/郭晓然/葛思然/唐以诺,1000145/1324753/1315987/1274720
NotDefined,NotDefined
NotDefined,NotDefined
希志爱野/吉泽明步,1005587/1275281
新高惠子/兰妖子/佐佐田季司,*/*/*
兵藤まこ/平田康之/富永美伊奈/徳弘夏生/麻生久美子/纳谷六朗/安西正弘,*/*/1003704/*/1058969/1029914/*
吉田日出子/水岛裕/Hiroshi Ôtake/田中和实/八奈见乘儿,1017172/1017170/1168170/1024128/1050874
Rosemary Dexter/Alida Valli/Sybil Danning,*/*/*
克里斯蒂娜·亨德里克斯/西尔莎·罗南/伊娃·门德斯/马特·史密斯/本·门德尔森/伊恩·德·卡斯泰克/芭芭拉·斯蒂尔/勒达·卡代布/黛米卡扎尼斯/罗布·萨布雷基,1047880/1022004/1041015/1197648/1000248/1316025/1014160/1342703/1340856/1210970
